测试,#genre#
凤凰卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226546/index.m3u8
﻿五台电视台,https://568slnjf.live.sxmty.com/live/hls/90c8b2efeb164cc0a6c2409eed668d6b/f77cbb89ec57435b9ba4c47589c16e4f-1.m3u8
﻿定襄电视台,http://lbyzztfe.live.sxmty.com/live/hls/645ff4c60e0a49f0a203abbd73dd8be9/0720e665f10f48e98c9639f4f492fb4a-1.m3u8
﻿原平电视台,http://xkmspyxn.live.sxmty.com/live/hls/65072fcc05414062bf02088d2a2a77b2/9da977614b044ef59d11779e997a12f8-1.m3u8
﻿五寨电视台,https://stream.icelook.cn/cf2874738208c975/6727103226484622340_1607389965.m3u8?auth_key=1893456000-0-0-c8ce454296feaadfd96bc25904e2b688
﻿宁武综合,https://fvsln5ps.live.sxmty.com/live/hls/7922d2cdc4734bb3921826418cfa992d/cd7756e2135a48758e73017d502d8ec1-1.m3u8
﻿河曲综合,http://w9dlwfw4.live.sxmty.com/live/hls/1fef51ab2fa94d11830411421272c2fd/8baaa4e2cbd64ed89d84d7e0ac0279ee-1.m3u8
﻿万荣综合,http://pili-live-hls.217.i2863.com/i2863-217/live_217_867556.m3u8
﻿临猗综合,http://pili-live-hls.lyzx.live.chinacici.cn/lyrmt/ceshi-ly.m3u8
﻿昔阳电视台,https://muspz2pi.live.sxmty.com/live/hls/33a3ffb76e06432cb2e535e58aa8441d/6644d056086b4f608c87db5be6d7f05e.m3u8
﻿太谷综合,https://p2.weizan.cn/1725814272/035167554667993420/live.m3u8
﻿祁县综合,http://ggpagerl.live.sxmty.com/live/hls/b350dc1ac5da45c2b2233f6eb122ddf4/49d3766c7f204685a2a8f027b234c33d.m3u8
﻿高平综合频道,http://live.gprmt.cn/gpnews/hd/live.m3u8
﻿灵丘电视台,https://stream.icelook.cn/1a7c625fde427dc3/6735154231323395076_1611041008.m3u8?auth_key=1893456000-0-0-fe9d45877d8cdddb4afccd9c1a12f3f8
﻿灵石综合,https://live-stream.lsxrmtzx.com/live/video.m3u8
﻿和顺电视台,http://r4wqqcdm.live.sxmty.com/live/hls/fdd364800242489d9d1accff98102861/c90e35fdc4ef43d287a62b49f4ea3cf2-1.m3u8
﻿襄汾综合,http://7sycrzf7.live.sxmty.com/live/hls/da9222d15ce7491d85fe3519e5201df5/af161dfd2a434b22b3b75fdd72fb9038-1.m3u8
﻿吉县综合,http://jxlive.jxrmtzx.com:8091/live/xwzh.m3u8
﻿古县综合,http://gxlive.gxrmtzx.com:85/live/xwzh.m3u8
﻿汾西综合,https://qmmqvzoz.live.sxmty.com/live/hls/f24f8a390c084386a564074c9260100c/be3fdf07606145739ab2c4b80fe0136a.m3u8
﻿浮山综合,http://8qjnxfty.live.sxmty.com/live/hls/d3bf73c25c1d4f92844c02aebac43e80/f1f114fcbe124e87a8f35da13f5cb90c-1.m3u8
﻿大宁综合,http://live.daningtv.com/channel1/sd/live.m3u8
﻿安泽综合,https://qnwjgp6u.live.sxmty.com/live/hls/8004b4759fae489b8ab0d40ce1290fe2/d77ec722dd494a5e92caf5ea283f232d-1.m3u8
﻿潞城综合,http://59.48.42.6:62204/lucheng.m3u8
﻿怀仁综合,http://1yp7hc5p.live.sxmty.com/live/hls/bff8529922344209985b6e49baa9555a/efa2543628fc4a7ea93d3d6c975f77dc.m3u8
﻿娄烦综合,https://d2lp2ch2.live.sxmty.com/live/hls/704197f994de412c85607538b668df29/b83e81a0d16247a7973edbe00e5e15f4-1.m3u8
﻿长子综合,http://zzlive.zzc-media.com:8092/live/xwzh.m3u8
﻿武乡综合,http://uzoiczhh.live.sxmty.com/live/hls/0d41f1480c4042d49927858f01fde707/53130407737b417b9a6259b57246bae3.m3u8
﻿屯留综合,http://qqlivepull.seedata.top/live/tunliu_video1.m3u8
﻿上党电视台,http://live.czmarathon.net/AppName/StreamName.m3u8?auth_key=1724003117-0-0-2b482c403162887c5bcbd30d0c89ddcb\
﻿平顺综合,https://stream.icelook.cn/2daa869d1623782d/6679643898219856900_1602492802.m3u8?auth_key=1893456000-0-0-8c6e3e73d78411a6bd6e2faef2b275d0
﻿山西经济与科教,http://liveflash.sxrtv.com/live/sxfinance.m3u8
﻿山西影视,http://liveflash.sxrtv.com/live/sxfilm.m3u8
﻿山西社会与法治,http://liveflash.sxrtv.com/live/sxedu.m3u8
﻿黄河电视台,http://liveflash.sxrtv.com/live/huanghe.m3u8
﻿晋城新闻,http://live.jinnews.com.cn/xwzh/sd/live.m3u8
﻿晋城公共,http://live.jinnews.com.cn/ggpd/sd/live.m3u8
﻿朔州新闻综合,http://stream.sxsztv.com/live1/sd/live.m3u8
﻿朔州生活娱乐,http://stream.sxsztv.com/live2/sd/live.m3u8
﻿运城新闻综合,http://live.0359tv.com/lsdream/ss4Lj11/1000/live.m3u8
﻿运城公共频道,http://live.0359tv.com/lsdream/t667aTY/1000/live.m3u8
﻿运城科技教育,http://live.0359tv.com/lsdream/p5eq48m/1000/live.m3u8
﻿临汾三套,http://hw-play.lezhibo.com/live/8552545d9bab4781bd46e8b41249d0e3.m3u8
﻿晋中新闻频道,http://jzlive.jztvnews.com:90/live/jzzh.m3u8
﻿晋中公共频道,http://jzlive.jztvnews.com:90/live/jzgg.m3u8
﻿长治新闻综合,http://111.53.105.2:8084/4b0bcd8509d748358b4450921fc3443b/h264_300k_ts/index.m3u8?type=hls_live_redirect
﻿长治公共频道,http://111.53.105.2:8084/7223161a96984d81b711d762d7e7fdd1/h264_300k_ts/index.m3u8?type=hls_live_redirect
﻿长治教育频道,http://111.53.105.2:8084/2b7f0174d0f44c34bf466fc0ab801a3a/h264_300k_ts/index.m3u8?type=hls_live_redirect
﻿交城电视台,http://sxjc.chinashadt.com:2036/live/stream:jctv.stream/playlist.m3u8
﻿柳林综合,http://pili-live-rtmp.212.i2863.com/i2863-212/live_212_336940.m3u8
